date,time,location
1/6/2023,6:00PM,St. Matthew
1/6/2023,7:00PM,St. Matthew
1/6/2023,8:00PM,St. Matthew
1/6/2023,5:00PM,St. Isidore
1/6/2023,6:00PM,St. Isidore
1/6/2023,7:00PM,St. Isidore
1/6/2023,8:00PM,St. Isidore
1/7/2023,10:00AM,St. Matthew
1/7/2023,11:00AM,St. Matthew
1/7/2023,12:00PM,St. Matthew
1/7/2023,8:00AM,St. Isidore
1/7/2023,9:00AM,St. Isidore
1/7/2023,10:00AM,St. Isidore
1/7/2023,11:00AM,St. Isidore
1/9/2023,6:00PM,St. John Vianney
1/9/2023,7:00PM,St. John Vianney
1/9/2023,8:00PM,St. John Vianney
1/11/2023,6:15PM,Queen of the Rosary
1/11/2023,7:15PM,Queen of the Rosary
1/11/2023,8:15PM,Queen of the Rosary
1/12/2023,6:00PM,St. Matthew
1/12/2023,7:00PM,St. Matthew
1/12/2023,8:00PM,St. Matthew
1/13/2023,6:00PM,St. Matthew
1/13/2023,7:00PM,St. Matthew
1/13/2023,8:00PM,St. Matthew
1/13/2023,6:00PM,St. James
1/13/2023,7:00PM,St. James
1/13/2023,8:00PM,St. James
1/13/2023,5:00PM,St. Isidore
1/13/2023,6:00PM,St. Isidore
1/13/2023,7:00PM,St. Isidore
1/13/2023,8:00PM,St. Isidore
1/13/2023,6:00PM,SJE
1/13/2023,7:00PM,SJE
1/13/2023,6:30PM,St. Philip
1/13/2023,7:30PM,St. Philip
1/13/2023,8:30PM,St. Philip
1/14/2023,10:00AM,St. Matthew
1/14/2023,11:00AM,St. Matthew
1/14/2023,12:00PM,St. Matthew
1/14/2023,8:00AM,St. James
1/14/2023,9:00AM,St. James
1/14/2023,10:00AM,St. James
1/14/2023,11:00AM,St. James
1/14/2023,12:00PM,St. James
1/14/2023,8:00AM,St. Isidore
1/14/2023,9:00AM,St. Isidore
1/14/2023,10:00AM,St. Isidore
1/14/2023,11:00AM,St. Isidore
1/14/2023,12:30PM,Queen of the Rosary
1/14/2023,1:30PM,Queen of the Rosary
1/14/2023,2:30PM,Queen of the Rosary
1/14/2023,9:30AM,St. Philip
1/14/2023,10:30AM,St. Philip
1/14/2023,11:30AM,St. Philip
1/14/2023,8:30AM,St. Walter
1/14/2023,9:30AM,St. Walter
1/14/2023,10:30AM,St. Walter
1/14/2023,11:30AM,St. Walter
1/14/2023,12:30PM,St. Walter
1/16/2023,6:00PM,St. John Vianney
1/16/2023,7:00PM,St. John Vianney
1/16/2023,8:00PM,St. John Vianney
1/17/2023,6:00PM,St. Walter
1/17/2023,7:00PM,St. Walter
1/17/2023,8:00PM,St. Walter
1/19/2023,6:00PM,St. Matthew
1/19/2023,7:00PM,St. Matthew
1/19/2023,8:00PM,St. Matthew
1/20/2023,6:00PM,St. Matthew
1/20/2023,7:00PM,St. Matthew
1/20/2023,8:00PM,St. Matthew
1/20/2023,6:00PM,St. James
1/20/2023,7:00PM,St. James
1/20/2023,8:00PM,St. James
1/20/2023,5:00PM,St. Isidore
1/20/2023,6:00PM,St. Isidore
1/20/2023,7:00PM,St. Isidore
1/20/2023,8:00PM,St. Isidore
1/20/2023,6:00PM,SJE
1/20/2023,7:00PM,SJE
1/20/2023,6:30PM,St. Philip
1/20/2023,7:30PM,St. Philip
1/20/2023,8:30PM,St. Philip
1/20/2023,6:15PM,St. Walter
1/20/2023,7:15PM,St. Walter
1/20/2023,8:15PM,St. Walter
1/20/2023,6:00PM,Holy Trinity
1/20/2023,7:00PM,Holy Trinity
1/20/2023,8:00PM,Holy Trinity
1/21/2023,10:00AM,St. Matthew
1/21/2023,11:00AM,St. Matthew
1/21/2023,12:00PM,St. Matthew
1/21/2023,8:00AM,St. James
1/21/2023,9:00AM,St. James
1/21/2023,10:00AM,St. James
1/21/2023,11:00AM,St. James
1/21/2023,12:00PM,St. James
1/21/2023,8:00AM,St. Isidore
1/21/2023,9:00AM,St. Isidore
1/21/2023,10:00AM,St. Isidore
1/21/2023,11:00AM,St. Isidore
1/21/2023,8:30AM,St. Walter
