division,team a,team b
5/6G,Holy Trinity,SJE
5/6G,Holy Trinity,St. John Vianney A
5/6G,Holy Trinity,St. John Vianney B
5/6G,Holy Trinity,St. Philip A
5/6G,Holy Trinity,St. Philip B
5/6G,Holy Trinity,St. Walter A
5/6G,Holy Trinity,St. Walter B
5/6G,Holy Trinity,St. Walter C
5/6G,SJE,St. John Vianney A
5/6G,SJE,St. John Vianney B
5/6G,SJE,St. Philip A
5/6G,SJE,St. Philip B
5/6G,SJE,St. Walter A
5/6G,SJE,St. Walter B
5/6G,SJE,St. Walter C
5/6G,St. John Vianney A,St. John Vianney B
5/6G,St. John Vianney A,St. Philip A
5/6G,St. John Vianney A,St. Philip B
5/6G,St. John Vianney A,St. Walter A
5/6G,St. John Vianney A,St. Walter B
5/6G,St. John Vianney A,St. Walter C
5/6G,St. John Vianney B,St. Philip A
5/6G,St. John Vianney B,St. Philip B
5/6G,St. John Vianney B,St. Walter A
5/6G,St. John Vianney B,St. Walter B
5/6G,St. John Vianney B,St. Walter C
5/6G,St. Philip A,St. Philip B
5/6G,St. Philip A,St. Walter A
5/6G,St. Philip A,St. Walter B
5/6G,St. Philip A,St. Walter C
5/6G,St. Philip B,St. Walter A
5/6G,St. Philip B,St. Walter B
5/6G,St. Philip B,St. Walter C
5/6G,St. Walter A,St. Walter B
5/6G,St. Walter A,St. Walter C
5/6G,St. Walter B,St. Walter C
5/6G,Holy Trinity,St. Walter C
5/6G,SJE,St. Walter B
5/6G,St. John Vianney A,St. Walter A
5/6G,St. John Vianney B,St. Philip B
5/6G,St. Philip A,St. Philip B
5/6G,Holy Trinity,St. John Vianney A
5/6G,SJE,St. Walter A
5/6G,St. John Vianney B,St. Walter C
5/6G,St. Philip A,St. Walter B
5/6G,Holy Trinity,St. Philip A
5/6G,SJE,St. Philip B
5/6G,St. John Vianney A,St. Philip B
5/6G,St. John Vianney B,St. Walter A
5/6G,St. John Vianney B,SJE
5/6G,St. Philip A,St. Walter C
5/6G,St. Walter B,St. Walter C
5/6G,Holy Trinity,St. Walter A
5/6G,St. John Vianney A,St. Walter B
7/8G,SJE A,SJE B
7/8G,SJE A,St. John Vianney A
7/8G,SJE A,St. John Vianney B
7/8G,SJE A,St. Philip
7/8G,SJE A,St. Walter A
7/8G,SJE A,St. Walter B
7/8G,SJE B,St. John Vianney A
7/8G,SJE B,St. John Vianney B
7/8G,SJE B,St. Philip
7/8G,SJE B,St. Walter A
7/8G,SJE B,St. Walter B
7/8G,St. John Vianney A,St. John Vianney B
7/8G,St. John Vianney A,St. Philip
7/8G,St. John Vianney A,St. Walter A
7/8G,St. John Vianney A,St. Walter B
7/8G,St. John Vianney B,St. Philip
7/8G,St. John Vianney B,St. Walter A
7/8G,St. John Vianney B,St. Walter B
7/8G,St. Philip,St. Walter A
7/8G,St. Philip,St. Walter B
7/8G,St. Walter A,St. Walter B
7/8G,SJE A,SJE B
7/8G,SJE A,St. John Vianney A
7/8G,SJE A,St. John Vianney B
7/8G,SJE A,St. Philip
7/8G,SJE A,St. Walter A
7/8G,SJE A,St. Walter B
7/8G,SJE B,St. John Vianney A
7/8G,SJE B,St. John Vianney B
7/8G,SJE B,St. Philip
7/8G,SJE B,St. Walter A
7/8G,SJE B,St. Walter B
7/8G,St. John Vianney A,St. John Vianney B
7/8G,St. John Vianney A,St. Philip
7/8G,St. John Vianney A,St. Walter A
7/8G,St. John Vianney A,St. Walter B
7/8G,St. John Vianney B,St. Philip
7/8G,St. John Vianney B,St. Walter A
7/8G,St. John Vianney B,St. Walter B
7/8G,St. Philip,St. Walter A
7/8G,St. Philip,St. Walter B
7/8G,St. Walter A,St. Walter B
7/8B,SJE A,SJE B
7/8B,SJE A,St. John Vianney
7/8B,SJE A,St. Philip
7/8B,SJE A,St. Walter
7/8B,SJE B,St. John Vianney
7/8B,SJE B,St. Philip
7/8B,SJE B,St. Walter
7/8B,St. John Vianney,St. Philip
7/8B,St. John Vianney,St. Walter
7/8B,St. Philip,St. Walter
7/8B,SJE A,SJE B
7/8B,SJE A,St. John Vianney
7/8B,SJE A,St. Philip
7/8B,SJE A,St. Walter
7/8B,SJE B,St. John Vianney
7/8B,SJE B,St. Philip
7/8B,SJE B,St. Walter
7/8B,St. John Vianney,St. Philip
7/8B,St. John Vianney,St. Walter
7/8B,St. Philip,St. Walter
7/8B,SJE A,SJE B
7/8B,SJE A,St. John Vianney
7/8B,SJE A,St. Philip
7/8B,SJE A,St. Walter
7/8B,SJE B,St. John Vianney
7/8B,SJE B,St. Philip
7/8B,SJE B,St. Walter
7/8B,St. John Vianney,St. Philip
7/8B,St. John Vianney,St. Walter
7/8B,St. Philip,St. Walter
