division,team,home location
5/6G,Holy Trinity,NONE
5/6G,SJE,Eastview Middle School
5/6G,St. John Vianney A,St. John Vianney
5/6G,St. John Vianney B,St. John Vianney
5/6G,St. Philip A,St. Philip the Apostle
5/6G,St. Philip B,St. Philip the Apostle
5/6G,St. Walter A,St. Walter
5/6G,St. Walter B,St. Walter
5/6G,St. Walter C,St. Walter
7/8B,SJE A,Eastview Middle School
7/8B,SJE B,Eastview Middle School
7/8B,St. John Vianney,St. John Vianney
7/8B,St. Philip,St. Philip the Apostle
7/8B,St. Walter,St. Walter
7/8G,SJE A,Eastview Middle School
7/8G,SJE B,Eastview Middle School
7/8G,St. John Vianney A,St. John Vianney
7/8G,St. John Vianney B,St. John Vianney
7/8G,St. Philip,St. Philip the Apostle
7/8G,St. Walter A,St. Walter
7/8G,St. Walter B,St. Walter
