date,start time,end time,division,team
9/6/2025,-,-,ALL,St. John Vianney
9/6/2025,-,-,ALL,St. John Vianney A
9/6/2025,-,-,ALL,St. John Vianney B
9/6/2025,-,-,ALL,St. Philip
9/6/2025,-,-,ALL,St. Philip A
9/6/2025,-,-,ALL,St. Philip B
9/6/2025,-,-,ALL,Holy Trinity
9/9/2025,-,-,ALL,St. Walter
9/9/2025,-,-,ALL,St. Walter A
9/9/2025,-,-,ALL,St. Walter B
9/9/2025,-,-,ALL,St. Walter C
9/11/2025,-,-,ALL,Holy Trinity
9/13/2025,-,-,ALL,Holy Trinity
9/20/2025,-,-,ALL,Holy Trinity
9/27/2025,-,-,ALL,Holy Trinity
10/4/2025,-,-,ALL,Holy Trinity
10/15/2025,-,-,7/8B,SJE A
10/15/2025,-,-,7/8B,SJE B
10/15/2025,-,-,7/8G,SJE A
10/15/2025,-,-,7/8G,SJE B
10/16/2025,-,-,7/8B,SJE A
10/16/2025,-,-,7/8B,SJE B
10/16/2025,-,-,7/8G,SJE A
10/16/2025,-,-,7/8G,SJE B
10/17/2025,-,-,ALL,St. Walter
10/17/2025,-,-,ALL,St. Walter A
10/17/2025,-,-,ALL,St. Walter B
10/17/2025,-,-,ALL,St. Walter C
10/17/2025,-,-,ALL,St. Philip
10/17/2025,-,-,ALL,St. Philip A
10/17/2025,-,-,ALL,St. Philip B
10/17/2025,-,-,7/8B,SJE A
10/17/2025,-,-,7/8B,SJE B
10/17/2025,-,-,7/8G,SJE A
10/17/2025,-,-,7/8G,SJE B
10/22/2025,-,-,ALL,St. Walter
10/22/2025,-,-,ALL,St. Walter A
10/22/2025,-,-,ALL,St. Walter B
10/22/2025,-,-,ALL,St. Walter C
10/24/2025,-,-,ALL,St. Walter
10/24/2025,-,-,ALL,St. Walter A
10/24/2025,-,-,ALL,St. Walter B
10/24/2025,-,-,ALL,St. Walter C
11/3/2025,-,-,7/8B,ALL
11/3/2025,-,-,7/8G,ALL
11/4/2025,-,-,7/8B,ALL
11/4/2025,-,-,7/8G,ALL
11/5/2025,-,-,7/8B,ALL
11/5/2025,-,-,7/8G,ALL
11/6/2025,-,-,7/8B,ALL
11/6/2025,-,-,7/8G,ALL
