division,team a,team b
5/6G,Holy Trinity,St. Isidore
5/6G,Holy Trinity,St. James
5/6G,Holy Trinity,St. John Vianney
5/6G,Holy Trinity,SJE
5/6G,Holy Trinity,St. Walter A
5/6G,Holy Trinity,St. Walter B
5/6G,St. Isidore,St. James
5/6G,St. Isidore,St. John Vianney
5/6G,St. Isidore,SJE
5/6G,St. Isidore,St. Walter A
5/6G,St. Isidore,St. Walter B
5/6G,St. James,St. John Vianney
5/6G,St. James,SJE
5/6G,St. James,St. Walter A
5/6G,St. James,St. Walter B
5/6G,St. John Vianney,SJE
5/6G,St. John Vianney,St. Walter A
5/6G,St. John Vianney,St. Walter B
5/6G,SJE,St. Walter A
5/6G,SJE,St. Walter B
5/6G,St. Walter A,St. Walter B
5/6G,Holy Trinity,St. Isidore
5/6G,Holy Trinity,St. James
5/6G,Holy Trinity,St. John Vianney
5/6G,Holy Trinity,SJE
5/6G,Holy Trinity,St. Walter A
5/6G,Holy Trinity,St. Walter B
5/6G,St. Isidore,St. James
5/6G,St. Isidore,St. John Vianney
5/6G,St. Isidore,SJE
5/6G,St. Isidore,St. Walter A
5/6G,St. Isidore,St. Walter B
5/6G,St. James,St. John Vianney
5/6G,St. James,SJE
5/6G,St. James,St. Walter A
5/6G,St. James,St. Walter B
5/6G,St. John Vianney,SJE
5/6G,St. John Vianney,St. Walter A
5/6G,St. John Vianney,St. Walter B
5/6G,SJE,St. Walter A
5/6G,SJE,St. Walter B
5/6G,St. Walter A,St. Walter B
5/6B,St. Isidore,St. James
5/6B,St. Isidore,St. John Vianney
5/6B,St. Isidore,SJE A
5/6B,St. Isidore,SJE B
5/6B,St. Isidore,St. Philip A
5/6B,St. Isidore,St. Philip B
5/6B,St. Isidore,St. Walter A
5/6B,St. Isidore,St. Walter B
5/6B,St. James,St. John Vianney
5/6B,St. James,SJE A
5/6B,St. James,SJE B
5/6B,St. James,St. Philip A
5/6B,St. James,St. Philip B
5/6B,St. James,St. Walter A
