date,time,location
1/10/2024,5:00PM,St. John Vianney
1/10/2024,6:00PM,St. John Vianney
1/10/2024,7:00PM,St. John Vianney
1/10/2024,8:00PM,St. John Vianney
1/10/2024,6:00PM,St. Walter
1/10/2024,7:00PM,St. Walter
1/10/2024,8:00PM,St. Walter
1/11/2024,6:00PM,St. James
1/11/2024,7:00PM,St. James
1/11/2024,8:00PM,St. James
1/12/2024,6:00PM,Eastview Middle School
1/12/2024,7:00PM,Eastview Middle School
1/12/2024,8:00PM,Eastview Middle School
1/12/2024,5:00PM,St. Isidore
1/12/2024,6:00PM,St. Isidore
1/12/2024,7:00PM,St. Isidore
1/12/2024,8:00PM,St. Isidore
1/12/2024,6:00PM,St. James
1/12/2024,7:00PM,St. James
1/12/2024,8:00PM,St. James
1/12/2024,6:30PM,St. Matthew
1/12/2024,7:30PM,St. Matthew
1/12/2024,8:30PM,St. Matthew
1/12/2024,6:00PM,St. Walter
1/12/2024,7:00PM,St. Walter
1/12/2024,8:00PM,St. Walter
1/13/2024,8:00AM,St. John Vianney
1/13/2024,9:00AM,St. John Vianney
1/13/2024,10:00AM,St. John Vianney
1/13/2024,11:00AM,St. John Vianney
1/13/2024,12:00PM,St. John Vianney
1/13/2024,1:00PM,St. John Vianney
1/13/2024,12:00PM,St. Matthew
1/13/2024,1:00PM,St. Matthew
1/13/2024,2:00PM,St. Matthew
1/13/2024,3:00PM,St. Matthew
1/16/2024,5:30PM,St. Isidore
1/16/2024,6:30PM,St. Isidore
1/16/2024,7:30PM,St. Isidore
1/17/2024,5:00PM,St. John Vianney
1/17/2024,6:00PM,St. John Vianney
1/17/2024,7:00PM,St. John Vianney
1/17/2024,8:00PM,St. John Vianney
1/19/2024,6:30PM,Christ the King
1/19/2024,7:30PM,Christ the King
1/19/2024,6:00PM,Eastview Middle School
1/19/2024,7:00PM,Eastview Middle School
1/19/2024,8:00PM,Eastview Middle School
1/19/2024,5:00PM,St. Isidore
1/19/2024,6:00PM,St. Isidore
1/19/2024,7:00PM,St. Isidore
1/19/2024,8:00PM,St. Isidore
1/19/2024,6:00PM,St. James
1/19/2024,7:00PM,St. James
1/19/2024,8:00PM,St. James
1/19/2024,6:30PM,St. Matthew
1/19/2024,7:30PM,St. Matthew
1/19/2024,8:30PM,St. Matthew
1/19/2024,6:00PM,St. Philip
1/19/2024,7:00PM,St. Philip
1/19/2024,8:00PM,St. Philip
1/20/2024,9:00AM,Christ the King
1/20/2024,10:00AM,Christ the King
1/20/2024,8:00AM,St. John Vianney
1/20/2024,9:00AM,St. John Vianney
1/20/2024,10:00AM,St. John Vianney
1/20/2024,11:00AM,St. John Vianney
1/20/2024,12:00PM,St. John Vianney
1/20/2024,1:00PM,St. John Vianney
1/20/2024,8:00AM,St. Isidore
1/20/2024,9:00AM,St. Isidore
1/20/2024,10:00AM,St. Isidore
1/20/2024,11:00AM,St. Isidore
1/20/2024,9:00AM,St. James
1/20/2024,10:00AM,St. James
1/20/2024,11:00AM,St. James
1/20/2024,9:00AM,St. Philip
1/20/2024,10:00AM,St. Philip
1/20/2024,11:00AM,St. Philip
1/20/2024,9:00AM,St. Walter
1/20/2024,10:00AM,St. Walter
1/20/2024,11:00AM,St. Walter
1/20/2024,12:00PM,St. Walter
1/22/2024,5:00PM,St. John Vianney
1/22/2024,6:00PM,St. John Vianney
1/22/2024,7:00PM,St. John Vianney
1/22/2024,8:00PM,St. John Vianney
1/23/2024,6:00PM,St. Walter
1/23/2024,7:00PM,St. Walter
1/23/2024,8:00PM,St. Walter
1/25/2024,6:00PM,Eastview Middle School
1/25/2024,7:00PM,Eastview Middle School
1/25/2024,8:00PM,Eastview Middle School
1/25/2024,6:00PM,St. James
1/25/2024,7:00PM,St. James
1/25/2024,8:00PM,St. James
1/26/2024,5:00PM,St. Isidore
1/26/2024,6:00PM,St. Isidore
1/26/2024,7:00PM,St. Isidore
1/26/2024,8:00PM,St. Isidore
1/26/2024,6:00PM,St. James
1/26/2024,7:00PM,St. James
1/26/2024,8:00PM,St. James
1/26/2024,6:30PM,St. Matthew
1/26/2024,7:30PM,St. Matthew
1/26/2024,8:30PM,St. Matthew
1/26/2024,6:00PM,St. Walter
1/26/2024,7:00PM,St. Walter
1/26/2024,8:00PM,St. Walter
1/27/2024,8:00AM,St. John Vianney
1/27/2024,9:00AM,St. John Vianney
1/27/2024,10:00AM,St. John Vianney
1/27/2024,11:00AM,St. John Vianney
1/27/2024,12:00PM,St. John Vianney
1/27/2024,1:00PM,St. John Vianney
1/27/2024,12:00PM,St. Matthew
1/27/2024,1:00PM,St. Matthew
