date,start time,end time,division,team
1/12/2024,-,-,5/6G,St. Walter A
1/12/2024,-,-,5/6G,St. Walter B
1/12/2024,-,-,7/8G,St. Walter A
1/12/2024,-,-,7/8G,St. Walter B
1/12/2024,-,-,5/6G,St. John Vianney
1/12/2024,-,-,ALL,St. Matthew
1/13/2024,8:01AM,-,7/8G,St. Isidore
1/13/2024,8:01AM,-,7/8B,St. Isidore A
1/20/2024,-,-,ALL,St. Matthew
1/20/2024,-,-,5/6G,St. Walter A
1/20/2024,-,-,5/6B,St. Walter A
1/20/2024,8:01AM,-,7/8G,St. Isidore
1/20/2024,8:01AM,-,7/8B,St. Isidore A
1/22/2024,-,-,5/6G,St. John Vianney
1/23/2024,-,-,5/6G,St. John Vianney
1/25/2024,-,-,5/6G,St. John Vianney
1/26/2024,-,-,ALL,St. Philip
1/26/2024,-,-,ALL,St. Philip A
1/26/2024,-,-,ALL,St. Philip B
1/26/2024,-,-,ALL,Holy Trinity
1/26/2024,-,-,5/6G,St. John Vianney
1/27/2024,-,-,ALL,St. Philip
1/27/2024,-,-,ALL,St. Philip A
1/27/2024,-,-,ALL,St. Philip B
1/27/2024,8:01AM,-,7/8G,St. Isidore
1/27/2024,8:01AM,-,7/8B,St. Isidore A
1/30/2024,-,-,5/6G,St. John Vianney
2/2/2024,-,-,5/6G,St. Walter A
2/2/2024,-,-,5/6B,St. Walter A
2/2/2024,-,-,7/8B,St. Walter A
2/2/2024,-,-,7/8B,St. Walter B
2/2/2024,-,-,7/8G,St. Walter A
2/2/2024,-,-,7/8G,St. Walter B
2/2/2024,-,-,ALL,St. Philip
2/2/2024,-,-,ALL,St. Philip A
2/2/2024,-,-,ALL,St. Philip B
2/2/2024,-,-,ALL,Holy Trinity
2/3/2024,-,-,ALL,St. Philip
2/3/2024,-,-,ALL,St. Philip A
2/3/2024,-,-,ALL,St. Philip B
2/3/2024,-,-,5/6G,St. John Vianney
2/3/2024,8:01AM,-,7/8G,St. Isidore
2/3/2024,8:01AM,-,7/8B,St. Isidore A
2/10/2024,-,-,ALL,St. Matthew
2/10/2024,10:00AM,-,5/6G,St. John Vianney
2/10/2024,8:01AM,-,7/8G,St. Isidore
2/10/2024,8:01AM,-,7/8B,St. Isidore A
2/13/2024,-,-,5/6G,St. John Vianney
2/14/2024,-,-,ALL,ALL
2/15/2024,-,-,ALL,St. James
2/16/2024,-,-,ALL,ALL
2/17/2024,-,-,ALL,ALL
2/24/2024,8:01AM,-,7/8G,St. Isidore
2/24/2024,8:01AM,-,7/8B,St. Isidore A
3/1/2024,-,-,ALL,Holy Trinity
3/2/2024,-,-,ALL,ALL
3/4/2024,-,-,7/8B,ALL
3/4/2024,-,-,7/8G,ALL
3/5/2024,-,-,7/8B,ALL
3/5/2024,-,-,7/8G,ALL
3/6/2024,-,-,7/8B,ALL
3/6/2024,-,-,7/8G,ALL
3/7/2024,-,-,7/8B,ALL
3/7/2024,-,-,7/8G,ALL
3/8/2024,-,-,7/8B,ALL
3/8/2024,-,-,7/8G,ALL
3/8/2024,-,-,ALL,Holy Trinity
3/9/2024,-,-,7/8B,ALL
3/9/2024,-,-,7/8G,ALL
3/9/2024,-,-,ALL,St. Matthew
3/9/2024,8:01AM,-,7/8G,St. Isidore
3/9/2024,8:01AM,-,7/8B,St. Isidore A
