division,team a,team b
5/6B,Holy Trinity,St. Isidore
5/6B,Holy Trinity,St. John Vianney
5/6B,Holy Trinity,SJE A
5/6B,Holy Trinity,SJE B
5/6B,Holy Trinity,St. Philip A
5/6B,Holy Trinity,St. Philip B
5/6B,Holy Trinity,St. Walter A
5/6B,Holy Trinity,St. Walter B
5/6B,St. Isidore,St. John Vianney
5/6B,St. Isidore,SJE A
5/6B,St. Isidore,SJE B
5/6B,St. Isidore,St. Philip A
5/6B,St. Isidore,St. Philip B
5/6B,St. Isidore,St. Walter A
5/6B,St. Isidore,St. Walter B
5/6B,St. John Vianney,SJE A
5/6B,St. John Vianney,SJE B
5/6B,St. John Vianney,St. Philip A
5/6B,St. John Vianney,St. Philip B
5/6B,St. John Vianney,St. Walter A
5/6B,St. John Vianney,St. Walter B
5/6B,SJE A,SJE B
5/6B,SJE A,St. Philip A
5/6B,SJE A,St. Philip B
5/6B,SJE A,St. Walter A
5/6B,SJE A,St. Walter B
5/6B,SJE B,St. Philip A
5/6B,SJE B,St. Philip B
5/6B,SJE B,St. Walter A
5/6B,SJE B,St. Walter B
5/6B,St. Philip A,St. Philip B
5/6B,St. Philip A,St. Walter A
5/6B,St. Philip A,St. Walter B
5/6B,St. Philip B,St. Walter A
5/6B,St. Philip B,St. Walter B
5/6B,St. Walter A,St. Walter B
5/6B,Holy Trinity,St. Walter B
5/6B,St. Isidore,St. Walter A
5/6B,St. John Vianney,St. Philip B
5/6B,SJE A,St. Philip A
5/6B,SJE B,St. Philip A
5/6B,Holy Trinity,St. John Vianney
5/6B,St. Isidore,St. Philip B
5/6B,SJE A,St. Walter B
5/6B,SJE B,St. Walter A
5/6B,Holy Trinity,SJE B
5/6B,St. Isidore,St. Philip A
5/6B,St. John Vianney,St. Philip A
5/6B,SJE A,St. Philip B
5/6B,SJE A,St. Isidore
5/6B,SJE B,St. Walter B
5/6B,St. Walter A,St. Walter B
5/6B,Holy Trinity,St. Philip B
5/6B,St. John Vianney,St. Walter A
5/6G,St. Isidore,St. John Vianney
5/6G,St. Isidore,St. Philip
5/6G,St. Isidore,St. Walter A
5/6G,St. Isidore,St. Walter B
5/6G,St. John Vianney,St. Philip
5/6G,St. John Vianney,St. Walter A
5/6G,St. John Vianney,St. Walter B
5/6G,St. Philip,St. Walter A
5/6G,St. Philip,St. Walter B
5/6G,St. Walter A,St. Walter B
5/6G,St. Isidore,St. John Vianney
5/6G,St. Isidore,St. Philip
5/6G,St. Isidore,St. Walter A
5/6G,St. Isidore,St. Walter B
5/6G,St. John Vianney,St. Philip
5/6G,St. John Vianney,St. Walter A
5/6G,St. John Vianney,St. Walter B
5/6G,St. Philip,St. Walter A
5/6G,St. Philip,St. Walter B
5/6G,St. Walter A,St. Walter B
5/6G,St. Isidore,St. John Vianney
5/6G,St. Isidore,St. Philip
5/6G,St. Isidore,St. Walter A
5/6G,St. Isidore,St. Walter B
5/6G,St. John Vianney,St. Philip
5/6G,St. John Vianney,St. Walter A
5/6G,St. John Vianney,St. Walter B
5/6G,St. Philip,St. Walter A
5/6G,St. Philip,St. Walter B
5/6G,St. Walter A,St. Walter B
7/8B,St. Isidore A,St. Isidore B
7/8B,St. Isidore A,St. John Vianney A
7/8B,St. Isidore A,St. John Vianney B
7/8B,St. Isidore A,SJE
7/8B,St. Isidore A,St. Philip A
7/8B,St. Isidore A,St. Philip B
7/8B,St. Isidore A,St. Walter A
7/8B,St. Isidore A,St. Walter B
7/8B,St. Isidore B,St. John Vianney A
7/8B,St. Isidore B,St. John Vianney B
7/8B,St. Isidore B,SJE
7/8B,St. Isidore B,St. Philip A
7/8B,St. Isidore B,St. Philip B
7/8B,St. Isidore B,St. Walter A
7/8B,St. Isidore B,St. Walter B
7/8B,St. John Vianney A,St. John Vianney B
7/8B,St. John Vianney A,SJE
7/8B,St. John Vianney A,St. Philip A
