Goals:

    [x] Back-to-back:
        - 5/6B  St. John Vianney
        - 5/6G  St. John Vianney
    [x] Back-to-back:
        - 7/8G  St. John Vianney
        - 7/8B  St. John Vianney A
    [x] Back-to-back:
        - 5/6G  St. Walter A
        - 7/8G  St. Walter B
    [x] Back-to-back:
        - 5/6G  St. Walter B
        - 5/6B  St. Walter B

========================================

date,time,location,division,team a,team b
1/30/2025,6:00PM,St. Walter,5/6G,St. Philip,St. Walter A
1/30/2025,7:00PM,St. Walter,7/8G,St. Isidore,St. Walter B

1/31/2025,5:30PM,St. Isidore,5/6G,St. Isidore,St. Walter A
1/31/2025,6:30PM,St. Isidore,7/8G,St. Isidore,St. Walter B

2/3/2025,6:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter A,(2x constrained)
2/3/2025,7:00PM,St. John Vianney,7/8G,St. John Vianney,St. Walter B,(2x constrained)

2/8/2025,9:30AM,St. Walter,7/8G,St. Walter A,St. Walter B
2/8/2025,10:30AM,St. Walter,5/6G,St. Walter A,St. Walter B,(2x constrained)

2/13/2025,7:00PM,St. Walter,5/6G,St. Walter A,St. Walter B,(2x constrained)
2/13/2025,8:00PM,St. Walter,7/8G,St. Walter A,St. Walter B

2/18/2025,7:00PM,St. Walter,5/6G,St. Walter A,St. Walter B,(2x constrained)
2/18/2025,8:00PM,St. Walter,7/8G,St. Walter A,St. Walter B

2/22/2025,8:30AM,St. Walter,5/6G,St. Isidore,St. Walter A
2/22/2025,9:30AM,St. Walter,7/8G,SJE A,St. Walter B

2/28/2025,6:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter A,(2x constrained)
2/28/2025,7:00PM,St. John Vianney,7/8G,St. John Vianney,St. Walter B,(2x constrained)

3/1/2025,10:30AM,St. Walter,5/6G,St. Philip,St. Walter A
3/1/2025,11:30AM,St. Walter,7/8G,SJE B,St. Walter B

_,_,_,7/8G,SJE B,St. Walter B,(don't care; scheduler can place it)
_,_,_,7/8G,SJE A,St. Walter B,(don't care; scheduler can place it)

# Condition 4

1/11/2025,10:00AM,St. Philip,5/6G,St. Philip,St. Walter B
1/11/2025,11:00AM,St. Philip,5/6B,St. Philip A,St. Walter B

1/16/2025,5:30PM,St. Isidore,5/6G,St. Isidore,St. Walter B
1/16/2025,6:30PM,St. Isidore,5/6B,St. Isidore,St. Walter B

1/18/2025,8:30AM,St. Walter,5/6G,St. Isidore,St. Walter B
1/18/2025,9:30AM,St. Walter,5/6B,Holy Trinity,St. Walter B

1/24/2025,6:00PM,St. Walter,5/6B,Holy Trinity,St. Walter B
1/24/2025,7:00PM,St. Walter,5/6G,St. John Vianney,St. Walter B,(2x constrained)

1/25/2025,9:00AM,St. Philip,5/6G,St. Philip,St. Walter B
1/25/2025,10:00AM,St. Philip,5/6B,St. Philip B,St. Walter B

1/30/2025,5:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter B,(2x constrained)
1/30/2025,6:00PM,St. John Vianney,5/6B,St. John Vianney,St. Walter B,(2x constrained)

2/8/2025,10:30AM,St. Walter,5/6G,St. Walter A,St. Walter B,(2x constrained)
2/8/2025,11:30AM,St. Walter,5/6B,St. Walter A,St. Walter B

2/13/2025,6:00PM,St. Walter,5/6B,St. Walter A,St. Walter B
2/13/2025,7:00PM,St. Walter,5/6G,St. Walter A,St. Walter B,(2x constrained)

2/18/2025,6:00PM,St. Walter,5/6B,SJE A,St. Walter B
2/18/2025,7:00PM,St. Walter,5/6G,St. Walter A,St. Walter B,(2x constrained)

2/21/2025,6:00PM,St. Walter,5/6B,SJE B,St. Walter B
2/21/2025,7:00PM,St. Walter,5/6G,St. John Vianney,St. Walter B,(2x constrained)

3/1/2025,8:30AM,St. Walter,5/6G,St. Isidore,St. Walter B
3/1/2025,9:30AM,St. Walter,5/6B,SJE B,St. Walter B

3/7/2025,6:00PM,Eastview Middle School,5/6G,St. Philip,St. Walter B
3/7/2025,7:00PM,Eastview Middle School,5/6B,SJE A,St. Walter B



Matchups to place
========================================= 
